    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
      -2.166854911,      0.1467201126,    -0.05315081033,       3.269805461,       1.205629082,       2.817022664
      -2.186896391,      0.1274112773,      0.0536101632,       3.243078838,        1.59960008,       2.850797242
      -2.047057792,     0.09166600708,      0.6460644664,       3.391916681,       1.807226583,       2.959509837
      -1.654056199,      0.1337904343,       1.410948834,       3.790321504,       2.235483044,       3.324286095
      -1.180053028,   -0.003429532305,       1.833895981,       4.234995179,       1.930958764,       3.050565905
      -1.726884796,      0.1116166446,       1.349881389,       3.789248051,       2.189607727,       3.270402185
       -1.12735158,     0.09847644559,       1.772567196,       4.276997714,       2.057185963,       3.154576952
      -1.420902808,      0.2479313165,       1.473793151,       4.065199087,       2.155442975,       3.235533918
      -1.119727998,      0.1986485822,       1.743176693,       4.270228544,       2.024684203,       3.135093446
      -1.500679111,      0.1828470681,       1.387919616,       4.026367293,       2.148831183,       3.226661164
      -1.088834099,      0.2327130133,       1.723863652,       4.297139193,       1.979472324,       3.111814211
       -1.58582404,      0.1182299011,       1.251310455,       3.986743192,       2.155289946,       3.233800759
      -1.034387486,      0.3630480873,       1.679113834,       4.362275306,       1.948530616,       3.113276461
      -1.559020734,     0.06721744937,       1.132965054,       4.008266774,       1.916787869,       3.040766736
        -1.1892436,     0.03196347181,       1.713391818,       4.188929729,       1.958890109,       3.080009176
      -1.691485309,      0.3049613197,        1.34340685,       3.901826817,       1.856574665,        3.01460166
      -1.283678584,      0.1567560003,       1.664990417,       4.080151939,       1.947053931,       3.063208025
      -1.593035898,      0.2689237541,       1.287731008,        3.95467725,        1.96351486,       3.101461722
       -1.22101852,       0.259735908,       1.647877561,       4.152314533,       1.873212593,       3.012916614
      -1.771224384,      0.2380015342,       1.089539462,       3.845594838,       1.957193164,       3.094479199
      -1.182971082,       0.252020321,       1.623921869,       4.207314213,       1.723635765,       2.929135308
      -1.874419567,      0.3106702111,      0.7601230524,       3.683861314,       1.622452611,        2.86822363
      -1.529151838,     0.09946696594,       1.265016266,       3.838235648,       2.041487391,       3.101564616
      -1.431322734,      0.1710912464,       1.654000231,       4.030529803,       1.796624499,       2.971945225
      -1.559487737,      0.7050025831,       1.599889936,        3.84400307,       2.102660346,       3.142118896
      -1.481965374,    0.006699903957,       1.564331475,       4.033620157,       1.899737416,       3.020512652
      -1.508393929,      0.6411392201,       1.704262069,       3.863817018,       2.373615551,       3.388342226
       -1.13522201,      0.4155193589,       1.700105168,       4.352691259,       2.582921089,       3.606328698
     -0.8256300625,      0.5284131995,       1.895617353,       4.600904357,       1.749864911,       2.930172002
      -1.853394953,      0.2083443917,       1.402213664,       3.764508309,       2.205450577,       3.220053789
      -1.442273483,       0.277417453,       1.169214919,        4.12067053,       2.033352758,        3.07145406
      -1.753854238,      0.2379515462,      0.9606662506,       3.890909452,       2.129949677,       3.152286151
      -1.562637161,      0.2644704716,      0.7299117954,       4.019879612,       2.056016954,       3.089184815
       -1.68627885,      0.2552976131,      0.5568682266,       3.922288896,       2.084778555,       3.112768683
      -1.622988254,      0.2684501181,      0.3800877157,       3.961319914,        2.04511148,       3.079524268
      -1.683974638,      0.2708687386,      0.3888041009,       3.906846687,       2.062549238,       3.093365555
       -1.64172894,      0.2863393861,      0.4226418805,       3.928863067,       1.995877427,       3.039540869
       -1.74332385,      0.2911489052,      0.6022417398,       3.837863884,       2.073533541,       3.101404606
      -1.597692302,      0.3212822484,      0.8787410743,       3.941246725,       1.530867514,       2.831324369
      -2.001005836,      0.3017110039,       1.316268755,       3.527218329,       2.403395344,       3.403330812
      -1.139308306,      0.4494105609,       1.823287399,       4.337068596,       2.252171558,       3.293110412
      -1.178698362,      0.3732554238,       1.964694551,        4.28984936,       2.304392785,       3.306253813
      -1.256716533,      0.4116483774,       1.675151412,       4.227870682,         1.7757284,        2.86123141
       -1.85461399,      0.3624140555,       1.443797111,       3.599227623,       2.052120636,       3.075686723
      -1.564330779,      0.3868305239,       1.193646945,       3.934522479,       1.514200765,       2.820861698
      -2.037473595,      0.3761316608,      0.9652151196,       3.494664983,       1.909407266,       2.965079779
      -1.746262432,       0.386353574,      0.7452703619,       3.758973401,       1.769262046,       2.881055282
      -1.930473384,      0.3854860139,      0.5790965873,       3.584424486,       1.830452504,       2.914746133
      -1.838730016,      0.3904108079,      0.4706356924,       3.665111615,       1.770168741,        2.88177351
      -1.912146846,      0.3917930594,      0.4259345537,       3.592004995,       1.780511415,       2.887291482
      -1.890060087,      0.3946952649,      0.4073835904,       3.608620994,       1.748401232,       2.871356353
       -1.92471336,      0.3963409835,      0.4031975571,       3.571502059,       1.741040843,       2.868043678
      -1.926403887,      0.3982650846,      0.4016238134,       3.565857595,       1.718635822,       2.858010796
      -1.947805832,       0.399632412,      0.4017709538,       3.541220623,       1.704874527,       2.852247117
      -1.957822717,      0.4009179378,      0.4017170251,       3.527627286,       1.685698583,       2.844542603
      -1.974766387,      0.4018703804,       0.401644765,       3.507236603,       1.669513965,       2.838428007
      -1.987774144,      0.4026422345,      0.4012288475,       3.490717985,       1.651291151,       2.831905559
      -2.003218783,      0.4031670422,      0.4005588365,       3.471753952,       1.634091434,       2.826120939
      -2.017117861,      0.4035781065,      0.3995827638,       3.454274285,       1.616179085,       2.820449059
      -2.031837431,      0.4037691449,      0.3983302525,       3.435950255,       1.598648297,       2.815245593
      -2.046006215,      0.4037612983,      0.3968003919,       3.418180255,       1.580914103,        2.81031279
      -2.060366375,      0.4035523844,      0.3950055778,        3.40021177,       1.563403549,       2.805759925
      -2.074398707,      0.4031531522,      0.3929536596,       3.382592004,       1.545950614,       2.801521513
      -2.088324061,      0.4025667214,       0.390652837,       3.365104972,       1.528753246,       2.797626456
      -2.101916713,      0.4018002711,      0.3881114981,       3.348005329,       1.507885832,       2.793686622
      -2.115208691,      0.4008575684,      0.3853370436,       3.331277762,       1.480177855,       2.789509504
      -2.128055653,      0.3997432801,      0.3823377824,       3.315096072,       1.453952895,       2.785859025
      -2.140396418,      0.3984629682,      0.3791207782,       3.299555379,       1.429668919,       2.782706002
      -2.152155802,       0.397022046,      0.3756928824,       3.284769017,       1.407770071,       2.780016869
      -2.163267285,      0.3954256158,      0.3720606049,       3.270843008,       1.388680389,       2.777757976
      -2.173662523,      0.3936785947,      0.3682302439,       3.257885855,       1.372739511,       2.775894388
      -2.183280717,      0.3917856695,        0.36420785,        3.24599645,       1.360168635,       2.774391464
      -2.192066505,      0.3897513494,      0.3599992919,       3.235264191,       1.351033912,       2.773214887
      -2.199974523,      0.3875799597,      0.3556102565,       3.225761813,       1.345239452,       2.772331353
      -2.206969835,      0.3852756677,      0.3510462877,       3.217542905,         1.3425411,       2.771708809
      -2.213030251,      0.3828424882,      0.3463127994,       3.210637885,       1.342582058,        2.77131678
      -2.218146839,      0.3802842991,      0.3414151031,       3.205052606,       1.344938136,       2.771126547
      -2.222324596,      0.3776048497,      0.3363584249,       3.200767671,       1.349162785,       2.771111282
      -2.225582059,      0.3748077722,      0.3311479277,       3.197739721,       1.354823867,       2.771246122
      -2.227951542,      0.3718973281,      0.3257885824,       3.195901603,       1.361234738,       2.771533414
      -2.229483232,      0.3688825272,       0.320284674,       3.195153464,       1.368099116,       2.771949513
      -2.230220977,      0.3657604574,      0.3146427172,       3.195418485,       1.375421083,        2.77245119
      -2.230224535,      0.3625343553,      0.3088678192,       3.196591639,         1.3829718,        2.77302122
      -2.229559098,      0.3592073774,      0.3029651128,       3.198563222,       1.390569905,       2.773644132
      -2.228293374,       0.355782588,      0.2969398463,       3.201222528,       1.398075192,       2.774306074
      -2.226498003,       0.352262925,      0.2907975347,       3.204460663,       1.405382052,       2.774994881
      -2.224241487,      0.3486514257,      0.2845431747,       3.208176172,       1.412412872,       2.775699752
      -2.221591499,      0.3449509839,      0.2781821625,       3.212273226,       1.419112462,       2.776411207
      -2.218612764,      0.3411644403,      0.2717199967,       3.216664071,       1.425443247,        2.77712098
      -2.215366227,       0.337294586,      0.2651622914,       3.221269599,       1.431381215,       2.777821867
      -2.211908276,      0.3333442205,      0.2585146963,       3.226019622,       1.436912966,       2.778507722
      -2.208290935,      0.3293160303,       0.251783125,         3.2308523,       1.442033029,       2.779173302
      -2.204561439,      0.3252126501,      0.2449736681,       3.235713906,       1.446741799,       2.779814156
      -2.200762124,      0.3210367098,      0.2380925219,        3.24055832,       1.451044041,       2.780426563
      -2.196930693,      0.3167908065,      0.2311460527,       3.245346277,       1.454947678,       2.781007452
      -2.193100448,      0.3124775076,      0.2241408041,       3.250044657,       1.458462868,       2.781554333
      -2.189300573,      0.3080993529,       0.217083503,       3.254625794,       1.461601292,       2.782065231
      -2.185556454,      0.3036588572,      0.2099810636,       3.259066813,       1.464375614,        2.78253863
      -2.181890006,      0.2991585117,        0.20284059,       3.263349007,       1.466799076,       2.782973415
      -2.178320006,       0.294600787,      0.1956693762,       3.267457284,       1.468885188,       2.783368831
      -2.174862416,      0.2899881338,       0.188474904,       3.271379652,       1.470647501,        2.78372443
      -2.171530683,      0.2853229853,      0.1812648386,       3.275106776,       1.472099443,       2.784040042
      -2.168336029,      0.2806077585,      0.1740470211,       3.278631582,       1.473254196,       2.784315732
      -2.165287711,      0.2758448553,      0.1668294582,       3.281948913,        1.47412461,       2.784551775
       -2.16239326,      0.2710366643,      0.1596203087,       3.285055233,       1.476973338,        2.78504802
